id,op_code,kind,journey,customer_journey,op_class,name,handle,friendly_name,friction_class,friction_target,friction_patterns_supported
a0002,A0002,op,authentication,Logoff,LogOffOperation,Logoff - Logoff Operation,,,,,
a0012,A0012,op,authentication,Push Notifications,BMBManageDeviceTokenDataOperation,Push Notifications - Manage Device Token Data Operation,,,,,
a001c,A001C,op,core_app_web,Terms & Conditions,GetTermsAndConditions,T&C - Get Terms and Conditions Operations,,,,,
a001d,A001D,op,core_app_web,Terms & Conditions,SaveTermsAndConditions,T&Cs - Save Terms and Conditions Operation,,,,,
a401a,A401A,op,authentication,Logon,AuthHello,Logon - Passcode Auth Hello Operation (v4),,,,,
a401b,A401B,op,authentication,Logon,AuthChallenge,Logon - Passcode Auth Challenge Operation (v4),,,,,
ab001,AB001,op,homepage_transactions,Banners,AccountListBanner,View Banners - Account List Banner,,,,,
ab002,AB002,op,homepage_transactions,Banners,NewBannerSuppressionOperation,View Banners - New Banner Suppression,,,,,
ab003,AB003,op,finance_my_growth,Loans,CheckBILResumeOperation,Loans - Check BIL Resume,,,,,
ak001,AK001,op,payments,Open Banking,OBRetrieveConsentDetailsOperation.java,Open Banking - Open Banking Consent Details Operation,,,,,
ak002,AK002,op,payments,Open Banking,OpenBankingProductListOperation,Open Banking - Open Banking Product List Operation,,,,,
ak003,AK003,op,payments,Open Banking,OpenBankingConsentApprovalOperation,Open Banking - Open Banking Consent Approval Operation,,,,,
ak004,AK004,op,payments,Open Banking,rejectConsent,Open Banking - Reject Consent,,,,,
ak02b,AK02B,op,payments,Open Banking,OpenBankingValidateProducts,Open Banking - Open Banking Validate Products,,,,,
al001,AL001,op,finance_my_growth,Business ALS Loan,Retrieve Business ALS Loan,Business ALS Loan - Retrieve Business ALS Loan,,,,,
al004,AL004,op,onboarding,Onboarding,GetAddresses,Onboarding - Get Addresses,,,,,
alu01,ALU01,op,onboarding,Change of Address,GetAddressFromPostcode,Change of Address - Get Address From Postcode,,,,,
ap002,AP002,op,payments,Apple Pay,EncryptApplePayCardDetailsOperation,Apple Pay - Encrypt Apple Pay Card Details Operation,,,,,
ap003,AP003,op,payments,Apple wallet extension,AppleWalletExtensionOperation,Apple Wallet Extension - AppleWalletExtensionOperation,,,,,
api.adigihelphubqry,spro1,api,api_inspector,,,Digital Help Hub Query API,adigihelphubqry,Digital Help Hub Query API,,,
api.busaccountmanagementxapi,spro1,api,api_inspector,,,Business Account Management X API,busaccountmanagementxapi,Business Account Management X API,,,
api.busprodsuitabilityxapi,spro1,api,api_inspector,,,Business Product Suitability X API,busprodsuitabilityxapi,Business Product Suitability X API,,,
api.digitaldynamicformsxapi,spro1,api,api_inspector,,,Digital Dynamic Forms X API,digitaldynamicformsxapi,Digital Dynamic Forms X API,,,
api.digitalrewardmgmtxapi,spro1,api,api_inspector,,,Digital Rewards Management X API,digitalrewardmgmtxapi,Digital Rewards Management X API,,,
api.digixapiaccountsmgt,spro1,api,api_inspector,,,Accounts Management X API,digixapiaccountsmgt,Accounts Management X API,,,
api.digixapichequeprocessing,spro1,api,api_inspector,,,Cheque Processing X API,digixapichequeprocessing,Cheque Processing X API,,,
api.digixapicustpropositions,spro1,api,api_inspector,,,Customer Propositions X API,digixapicustpropositions,Customer Propositions X API,,,
api.digixapipaymentsmgt,spro1,api,api_inspector,,,Payments Management X API,digixapipaymentsmgt,Payments Management X API,,,
api.digixapirwdsubsmgt,spro1,api,api_inspector,,,Rewards Subscription Management X API,digixapirwdsubsmgt,Rewards Subscription Management X API,,,
api.digixapitransactionsmgt,spro1,api,api_inspector,,,Transaction Management API,digixapitransactionsmgt,Transaction Management API,,,
api.emmxapissdauthqry,spro1,api,api_inspector,,,SSD Auth Query X API,emmxapissdauthqry,SSD Auth Query X API,,,
api.mortrepaymentchargesxapi,spro1,api,api_inspector,,,Mortgage Repayment Charges X API,mortrepaymentchargesxapi,Mortgage Repayment Charges X API,,,
api.spr01,spro1,api,api_inspector,,,Cjmaping,spr01,Cjmaping,,,
api.taqapiavios,spro1,api,api_inspector,,,Avios API,taqapiavios,Avios API,,,
api.taqapicrdmgmntcmd,spro1,api,api_inspector,,,Card Management Command API,taqapicrdmgmntcmd,Card Management Command API,,,
api.taqapicrdtknqry,spro1,api,api_inspector,,,Card Token Query API,taqapicrdtknqry,Card Token Query API,,,
api.taqapidej,spro1,api,api_inspector,,,Digital Enrolment Journey API,taqapidej,Digital Enrolment Journey API,,,
api.taqapimrkprefsmgt,spro1,api,api_inspector,,,Marketing Preferences Management API,taqapimrkprefsmgt,Marketing Preferences Management API,,,
api.taqapiprospects,spro1,api,api_inspector,,,Prospects API,taqapiprospects,Prospects API,,,
api.taqapiprospectslookup,spro1,api,api_inspector,,,Prospects Lookup API,taqapiprospectslookup,Prospects Lookup API,,,
api.taqapisearchmgt,spro1,api,api_inspector,,,Search Management API,taqapisearchmgt,Search Management API,,,
api.taqbpfpymntsxapi,spro1,api,api_inspector,,,BPF Payments X API,taqbpfpymntsxapi,BPF Payments X API,,,
api.taqdataapibusinsmgt,spro1,api,api_inspector,,,Business Insights Data API,taqdataapibusinsmgt,Business Insights Data API,,,
api.taqdbtcrdsrvcngiapi,spro1,api,api_inspector,,,Debit Card Servicing API,taqdbtcrdsrvcngiapi,Debit Card Servicing API,,,
api.taqdomainbbao,spro1,api,api_inspector,,,Domain BBAO API,taqdomainbbao,Domain BBAO API,,,
api.taqdomaincommon,spro1,api,api_inspector,,,Domain Common API,taqdomaincommon,Domain Common API,,,
api.taqdomaincustonboarding,spro1,api,api_inspector,,,Domain Customer Onboarding API,taqdomaincustonboarding,Domain Customer Onboarding API,,,
api.taqdomainhomepage,spro1,api,api_inspector,,,Domain Homepage API,taqdomainhomepage,Domain Homepage API,,,
api.taqdomainngcbetb,spro1,api,api_inspector,,,Domain NGC BETB API,taqdomainngcbetb,Domain NGC BETB API,,,
api.taqdomainpkgholdings,spro1,api,api_inspector,,,Domain Package Holdings API,taqdomainpkgholdings,Domain Package Holdings API,,,
api.taqdomainregistration,spro1,api,api_inspector,,,Domain Registration API,taqdomainregistration,Domain Registration API,,,
api.taqdomaintransaction,spro1,api,api_inspector,,,Transaction API,taqdomaintransaction,Transaction API,,,
api.taqfundstrnsfrxapi,spro1,api,api_inspector,,,Funds Transfer API,taqfundstrnsfrxapi,Funds Transfer API,,,
api.taqmanagepaymentsiapi,spro1,api,api_inspector,,,Manage Payments API,taqmanagepaymentsiapi,Manage Payments API,,,
api.taqmortgagesxapi,spro1,api,api_inspector,,,Mortgages X API,taqmortgagesxapi,Mortgages X API,,,
api.taqppecrdactenqxapi,spro1,api,api_inspector,,,PPE Card Account Enquiry API,taqppecrdactenqxapi,PPE Card Account Enquiry API,,,
api.taqppecrdtxnenqxapi,spro1,api,api_inspector,,,PPE Card Transaction Enquiry API,taqppecrdtxnenqxapi,PPE Card Transaction Enquiry API,,,
api.taqpperpayenqxapi,spro1,api,api_inspector,,,PPE Repayment Enquiry API,taqpperpayenqxapi,PPE Repayment Enquiry API,,,
api.taqxapiasyncchat,spro1,api,api_inspector,,,Async Chat X API,taqxapiasyncchat,Async Chat X API,,,
api.taqxapicontactdetails,spro1,api,api_inspector,,,Contact Details X API,taqxapicontactdetails,Contact Details X API,,,
api.taqxapistmtdocs,spro1,api,api_inspector,,,Statement Documents X API,taqxapistmtdocs,Statement Documents X API,,,
